evnt_start_time_x,mtng_date,mtng_venue_location,evnt_number,mtng_name,sport_name,Racecourse,Meeting Date,ramp_id,evnt_start_time_y,country,commission,uk_commission,ie_commission,bf_uk_volume,bf_ie_volume,pp_uk_volume,pp_ie_volume,volume,_merge
,,,5,,Horse Racing,MELTON HARNESS,2022-06-18,9443873,2022-06-18 10:00:00,Australia,51.498,48.3493,3.1487,49.4637,1.7176,132.2746,38.581,222.0369,right_only
,,,6,,Horse Racing,REDCLIFFE HARNESS,2022-06-29,9478960,2022-06-29 10:50:00,Australia,40.5465,39.8396,0.7069,12.1734,5.046,102.1848,10.5053,129.9095,right_only
,,,1,,Horse Racing,DUBBO HARNESS,2022-06-03,9399402,2022-06-03 09:52:00,Australia,,,,0.1567,0.0,0.925,0.0314,1.1131,right_only
,,,3,,Horse Racing,SHEPPARTON HARNESS,2022-06-16,9436283,2022-06-16 09:00:00,Australia,48.9946,43.6215,5.3731,39.1503,0.0,63.4485,27.6344,130.2332,right_only
,,,1,,Horse Racing,YOUNG HARNESS,2022-05-31,9380602,2022-05-31 08:10:00,Australia,,,,0.0,0.0,0.0,0.0,0.0,right_only
,,,5,,Horse Racing,GLOUCESTER PARK HARNESS,2022-06-24,9467924,2022-06-24 12:23:00,Australia,147.0851,133.6839,13.4012,102.4433,0.0,34.2925,2.8176,139.5534,right_only
,,,8,,Horse Racing,MELTON HARNESS,2022-06-15,9429910,2022-06-15 11:30:00,Australia,27.2076,25.8552,1.3524,46.3326,0.519,389.7053,21.0786,457.6355,right_only
,,,8,,Horse Racing,MENANGLE HARNESS,2022-06-28,9474834,2022-06-28 08:08:00,Australia,45.9119,41.3031,4.6088,34.6323,2.0132,61.4009,19.0524,117.0988,right_only
,,,5,,Horse Racing,MILDURA HARNESS,2022-06-10,9418672,2022-06-10 05:21:00,Australia,27.7937,26.7639,1.0298,19.2145,0.0,38.2754,43.9817,101.4716,right_only
,,,7,,Horse Racing,MELTON HARNESS,2022-06-25,9465974,2022-06-25 11:07:00,Australia,4.89,4.5286,0.3614,13.5256,0.215,36.7587,4.2805,54.7798,right_only
