ramp_id,sport_name,track,race_number,race_time,country,bf_uk_adj_revenue,bf_ie_adj_revenue,pp_uk_adj_revenue,pp_ie_adj_revenue,adj_revenue
9483174,Horse Racing,TOKYO,1,2022-06-26 01:55:00,Japan,3.3479,-1.6856,-9.967,-15.4888,-23.7935
9448595,Horse Racing,KAWASAKI,12,2022-06-16 12:50:00,Japan,10.4725,0.0,14.3517,1.0429,25.8671
9444857,Horse Racing,SONODA,4,2022-06-15 04:10:00,Japan,1.6667,0.0,30.4196,0.793,32.8793
9427741,Horse Racing,NAGOYA,10,2022-06-10 07:55:00,Japan,0.942,0.0,12.8673,9.8772,23.6865
9431984,Horse Racing,SAGA,1,2022-06-11 05:40:00,Japan,-1.5,0.0,23.0738,2.995,24.5688
9424754,Horse Racing,SONODA,1,2022-06-09 02:45:00,Japan,-86.78,0.0,20.736,7.8531,-58.1909
9417289,Horse Racing,NAGOYA,7,2022-06-07 06:15:00,Japan,9.459,0.0,41.9917,1.1823,52.633
9467753,Horse Racing,SONODA,7,2022-06-22 05:45:00,Japan,1.6668,0.0,110.1234,2.9274,114.7176
9483163,Horse Racing,SAGA,1,2022-06-26 05:10:00,Japan,9.0187,4.5867,20.41,6.4617,40.4771
9424742,Horse Racing,OHI,3,2022-06-09 07:30:00,Japan,0.3533,0.0,5.418,-42.1328,-36.3615
9460974,Horse Racing,MIZUSAWA,10,2022-06-20 09:05:00,Japan,10.8929,0.0,26.8788,-8.4686,29.3031
9417346,Horse Racing,KANAZAWA,10,2022-06-07 08:55:00,Japan,0.0,0.0,27.5275,-16.3174,11.2101
9460970,Horse Racing,MIZUSAWA,7,2022-06-20 07:20:00,Japan,2.6679,0.0,-62.8638,0.0,-60.1959
9395801,Horse Racing,SONODA,10,2022-06-01 09:20:00,Japan,21.6971,0.0,70.1363,10.0456,101.879
9458298,Horse Racing,KOCHI,2,2022-06-19 07:30:00,Japan,1.0763,0.0,31.9734,1.2094,34.2591
9492055,Horse Racing,SONODA,9,2022-06-29 07:00:00,Japan,19.8679,0.0,89.6612,36.2708,145.7999
9411098,Horse Racing,SAGA,1,2022-06-05 05:25:00,Japan,0.0,0.0,2.79,-2.8678,-0.0778
9411101,Horse Racing,SAGA,4,2022-06-05 07:10:00,Japan,0.075,0.0,-20.7975,4.2911,-16.4314
9417323,Horse Racing,OHI,9,2022-06-07 10:55:00,Japan,-22.5,0.0,21.6153,17.419,16.5343
9438188,Horse Racing,MIZUSAWA,1,2022-06-13 03:30:00,Japan,13.94,6.4235,28.4266,-5.6667,43.1234
9444831,Horse Racing,KASAMATSU,4,2022-06-15 05:30:00,Japan,2.4,0.0,-1.5425,-4.3078,-3.4503
9441296,Horse Racing,KASAMATSU,9,2022-06-14 08:00:00,Japan,2.344,0.0,-51.0671,3.1749,-45.5482
9488781,Horse Racing,OHI,6,2022-06-28 09:10:00,Japan,10.5468,4.3141,48.291,6.3295,69.4814
9476083,Horse Racing,SONODA,5,2022-06-24 08:35:00,Japan,19.6408,0.0,31.1365,16.9671,67.7444
9476081,Horse Racing,SONODA,3,2022-06-24 07:30:00,Japan,-5.1359,0.0,-3.3252,33.3221,24.861
9496108,Horse Racing,SONODA,5,2022-06-30 04:50:00,Japan,29.1382,0.0,18.175,-0.3176,46.9956
9476071,Horse Racing,FUNABASHI,5,2022-06-24 08:45:00,Japan,-1.5333,42.9258,167.6943,11.5356,220.6224
9488766,Horse Racing,KASAMATSU,3,2022-06-28 03:55:00,Japan,0.5733,27.61,26.4093,5.0113,59.6039
9411106,Horse Racing,SAGA,9,2022-06-05 10:05:00,Japan,47.1167,-10.2987,-17.8546,9.2284,28.1918
9417313,Horse Racing,OHI,5,2022-06-07 08:35:00,Japan,14.2833,0.4265,13.7603,21.7348,50.2049
9458319,Horse Racing,SAGA,11,2022-06-19 11:25:00,Japan,-31.8279,0.0,-51.6939,13.5136,-70.0082
9479838,Horse Racing,SAGA,5,2022-06-25 08:10:00,Japan,0.0,0.0,108.0223,42.592,150.6143
